,AGE,CUS_Month_Income,YEARS_WITH_US,# total debit transactions for S1,# total debit transactions for S2,# total debit transactions for S3,total debit amount for S1,total debit amount for S2,total debit amount for S3,# total credit transactions for S1,# total credit transactions for S2,# total credit transactions for S3,total credit amount for S1,total credit amount for S2,total credit amount for S3,total debit amount,total debit transactions,total credit amount,total credit transactions,total transactions,CUS_Target,CUS_Gender_MALE,CUS_Marital_Status_DIVORCE,CUS_Marital_Status_MARRIED,CUS_Marital_Status_OTHER,CUS_Marital_Status_PARTNER,CUS_Marital_Status_SINGLE,CUS_Marital_Status_WIDOWED,TAR_Desc_EXECUTIVE,TAR_Desc_LOW,TAR_Desc_MIDLE,TAR_Desc_PLATINUM,Status_ACTIVE
315,56,1000000.0,14,96,54,44,192242.44,158946.92,117484.0,1,0,1,1500.0,0.0,8000.0,468673.36,194,9500.0,2,196,2223,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
316,44,1500000.0,14,0,2,0,0.0,1000.0,0.0,0,0,0,0.0,0.0,0.0,1000.0,2,0.0,0,2,2222,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
317,41,2500000.0,6,130,0,8,1313976.64,0.0,26013.82,6,9,5,579100.9,143785.0,159527.17,1339990.46,138,882413.07,20,158,2222,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
318,43,1000000.0,14,129,95,20,267758.88,107693.12,34150.0,13,18,2,197650.0,133570.0,13000.0,409602.0,244,344220.0,33,277,2222,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
319,61,8000000.0,14,7,0,0,3843.6,0.0,0.0,1,0,0,4000.0,0.0,0.0,3843.6,7,4000.0,1,8,2223,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
320,34,1000000.0,14,80,45,16,397232.58,493779.68,122687.2,30,10,4,355510.0,393000.0,46500.0,1013699.46,141,795010.0,44,185,2223,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
321,50,2000000.0,14,1,5,1,200.0,25000.0,200.0,0,1,0,0.0,25265.47,0.0,25400.0,7,25265.47,1,8,2223,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
322,41,7500000.0,14,71,52,47,131626.04,39332.25,46905.48,8,11,3,16810.0,31200.0,11100.0,217863.77,170,59110.0,22,192,2222,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
323,39,1520000.0,14,73,65,78,129228.0,181352.0,151178.7,8,11,7,140651.22,170663.11,147175.0,461758.7,216,458489.33,26,242,2223,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
324,40,1000000.0,14,115,87,17,773411.7,1530485.46,174978.89,3,4,1,427000.0,299127.99,5000.0,2478876.05,219,731127.99,8,227,2223,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
325,56,6288000.0,14,145,97,130,258041.44,218140.68,274487.98,26,25,25,246074.17,228659.67,233343.28,750670.1,372,708077.12,76,448,2223,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
326,34,500000.0,14,4,3,5,600.0,1393.6,1300.0,0,0,0,0.0,0.0,0.0,3293.6,12,0.0,0,12,2223,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
327,39,500000.0,14,23,0,0,60862.53,0.0,0.0,7,0,1,58180.0,0.0,50.0,60862.53,23,58230.0,8,31,2223,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
328,31,500000.0,14,3,2,0,5250.0,150.0,0.0,1,0,0,5000.0,0.0,0.0,5400.0,5,5000.0,1,6,2222,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
329,58,4706769.0,25,209,150,260,566354.77,449565.94,1027156.54,20,20,18,884138.02,717223.78,973770.73,2043077.25,619,2575132.53,58,677,2232,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
330,37,3031049.0,14,7,12,13,4200.0,9818.28,10636.47,7,12,13,4200.0,9818.28,10636.47,24654.75,32,24654.75,32,64,2223,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
331,43,2000000.0,14,5,14,20,5311.83,57480.3,57354.85,0,0,0,0.0,0.0,0.0,120146.98,39,0.0,0,39,2223,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
332,41,2000000.0,14,12,4,4,6780.0,2340.0,2500.0,0,0,0,0.0,0.0,0.0,11620.0,20,0.0,0,20,2223,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
333,55,17880.0,14,43,90,89,98709.6,175548.72,131425.98,8,2,0,104101.32,48056.0,0.0,405684.3,222,152157.32,10,232,2222,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
334,39,2413473.0,14,41,56,43,59255.0,78003.11,41160.48,1,0,0,2000.0,0.0,0.0,178418.59,140,2000.0,1,141,2223,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
335,37,1970182.0,14,74,231,133,193030.04,847300.39,899394.51,9,25,30,203851.19,1304133.38,1288155.67,1939724.94,438,2796140.24,64,502,2212,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
336,24,500000.0,14,17,57,23,48593.6,161477.7,40784.7,6,8,8,51000.0,160075.0,43740.0,250856.0,97,254815.0,22,119,2224,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
337,33,450000.0,14,36,112,9,97588.02,532132.22,10481.03,6,7,2,42000.0,444475.58,1400.0,640201.27,157,487875.58,15,172,2222,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
338,33,100000.0,14,307,215,270,425958.34,350657.04,590845.64,8,13,19,895658.24,513444.59,730375.8,1367461.02,792,2139478.63,40,832,2232,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
339,67,5000.0,14,5,5,7,450.0,375.0,525.0,7,6,7,66125.86,59208.06,70522.0,1350.0,17,195855.92,20,37,2223,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
340,41,500000.0,14,2,34,9,1093.6,83929.0,13572.2,0,4,3,0.0,30232.0,13834.0,98594.8,45,44066.0,7,52,2223,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
341,50,3000000.0,14,0,1,0,0.0,414.12,0.0,0,0,0,0.0,0.0,0.0,414.12,1,0.0,0,1,2222,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
342,59,17000000.0,14,16,22,54,44035.42,55445.0,62214.32,8,2,5,35650.0,46000.0,25500.0,161694.74,92,107150.0,15,107,2223,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
343,37,3000.0,14,0,2,105,0.0,600693.6,1234073.39,0,1,15,0.0,15000.0,188400.0,1834766.99,107,203400.0,16,123,2223,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
344,58,2000000.0,14,27,44,28,75283.0,139620.0,58544.0,6,6,6,75586.05,90687.33,75845.92,273447.0,99,242119.3,18,117,2223,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
345,43,2500.0,23,0,2,0,0.0,2251.7,0.0,0,0,0,0.0,0.0,0.0,2251.7,2,0.0,0,2,2212,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
346,35,1605000.0,14,36,54,56,77606.62,106107.55,143617.22,8,6,7,109327.63,128814.42,172289.5,327331.39,146,410431.55,21,167,2223,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
347,60,12577765.0,14,39,25,41,48591.82,39954.57,54681.82,0,0,3,0.0,0.0,25200.0,143228.21,105,25200.0,3,108,2222,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
348,42,800.0,14,7,0,0,32800.0,0.0,0.0,1,0,0,32800.0,0.0,0.0,32800.0,7,32800.0,1,8,2223,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
349,51,1000.0,14,25,26,23,22624.52,91172.02,26405.06,7,9,7,851461.0,704335.51,668166.27,140201.6,74,2223962.78,23,97,2222,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
350,41,2800000.0,14,9,3,0,7770.6,1242.36,0.0,0,0,0,0.0,0.0,0.0,9012.96,12,0.0,0,12,2223,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
351,45,2000000.0,14,24,64,37,25529.6,128560.16,53812.41,1,0,0,8000.0,0.0,0.0,207902.17,125,8000.0,1,126,2223,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
352,44,2000.0,14,24,24,31,122132.27,68438.96,92313.41,13,9,11,135700.0,76000.0,82525.0,282884.64,79,294225.0,33,112,2223,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
353,38,2000000.0,14,47,99,90,74048.6,171547.22,244812.7,6,4,5,31536.0,27600.0,37100.0,490408.52,236,96236.0,15,251,2222,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
354,37,1850000.0,14,36,64,110,135053.7,171312.12,329698.33,0,1,0,0.0,12400.0,0.0,636064.15,210,12400.0,1,211,2222,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
355,37,3500.0,14,206,114,79,652576.85,223099.0,236473.5,15,14,10,347861.94,268242.34,293282.59,1112149.35,399,909386.87,39,438,2222,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
356,43,5000.0,14,0,1,6,0.0,414.12,22000.0,0,0,0,0.0,0.0,0.0,22414.12,7,0.0,0,7,2223,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
357,43,2000000.0,14,15,69,26,76136.85,272490.61,183482.82,0,6,3,0.0,52200.0,65000.0,532110.28,110,117200.0,9,119,2223,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
358,48,12000000.0,14,185,123,127,35733493.37,2642494.55,2261727.82,1,2,3,2000000.0,402670.69,113068.37,40637715.74,435,2515739.06,6,441,2211,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
359,28,400000.0,14,46,35,12,64623.6,72359.01,19753.9,8,9,2,73500.0,63000.0,13500.0,156736.51,93,150000.0,19,112,2223,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
360,42,5000.0,14,19,30,30,400918.22,676119.55,1050691.73,7,6,8,869476.68,842885.4,1208758.69,2127729.5,79,2921120.77,21,100,2222,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
361,61,2000000.0,14,0,0,6,0.0,0.0,1883.32,0,0,0,0.0,0.0,0.0,1883.32,6,0.0,0,6,2223,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
362,37,200000.0,14,1,2,0,300.0,5000.0,0.0,0,1,0,0.0,1000.0,0.0,5300.0,3,1000.0,1,4,2223,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
363,51,2000000.0,9,2,0,2,828.24,0.0,895.56,0,0,0,0.0,0.0,0.0,1723.8,4,0.0,0,4,2223,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
364,56,3595680.0,14,8,0,0,9719.71,0.0,0.0,0,0,0,0.0,0.0,0.0,9719.71,8,0.0,0,8,2222,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
365,67,10000000.0,14,1,0,0,300.0,0.0,0.0,0,0,0,0.0,0.0,0.0,300.0,1,0.0,0,1,2223,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
366,38,3000000.0,14,7,1,0,770.0,20.0,0.0,2,0,0,1000.0,0.0,0.0,790.0,8,1000.0,2,10,2223,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
367,35,200000.0,14,24,15,9,32416.2,22570.0,12700.0,6,4,7,18000.0,14000.0,14100.0,67686.2,48,46100.0,17,65,2222,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
368,43,1500000.0,14,22,56,23,63671.14,124289.0,41446.0,4,6,2,83600.52,125400.78,41800.26,229406.14,101,250801.56,12,113,2222,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
369,39,4000.0,14,20,39,31,54519.39,92780.0,70739.0,4,2,3,54060.0,27160.0,1150.0,218038.39,90,82370.0,9,99,2223,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
370,55,15000.0,23,12,16,0,25167.06,33707.59,0.0,7,4,3,85025.04,85725.0,38.77,58874.65,28,170788.81,14,42,2222,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
371,39,5000000.0,14,0,0,2,0.0,0.0,1443.3,0,0,0,0.0,0.0,0.0,1443.3,2,0.0,0,2,2223,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
372,67,5600000.0,14,0,0,0,0.0,0.0,0.0,2,2,0,6500.0,6000.0,0.0,0.0,0,12500.0,4,4,2223,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
373,55,4000.0,14,13,13,1,25626.6,8102.13,749.7,0,0,0,0.0,0.0,0.0,34478.43,27,0.0,0,27,2223,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
374,46,2000000.0,14,35,21,40,123203.02,93547.0,178258.32,6,6,5,124000.0,104000.0,170658.0,395008.34,96,398658.0,17,113,2222,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
375,57,3000.0,14,33,177,123,522576.11,2487017.51,712015.46,7,14,13,1149525.37,2321740.04,1394457.58,3721609.08,333,4865722.99,34,367,2211,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
376,44,2145000.0,14,0,0,50,0.0,0.0,6565.26,0,0,2,0.0,0.0,7000.0,6565.26,50,7000.0,2,52,2223,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
377,45,2145000.0,14,21,6,0,49140.0,20100.0,0.0,7,3,0,45440.84,20106.42,0.0,69240.0,27,65547.26,10,37,2223,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
378,40,2000000.0,14,66,200,108,100227.41,335680.96,139662.8,0,15,9,0.0,131000.0,136500.0,575571.17,374,267500.0,24,398,2223,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
379,56,2300000.0,14,87,78,63,98476.0,99076.0,95776.0,7,6,8,113447.83,93642.7,111069.19,293328.0,228,318159.72,21,249,2223,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
380,48,2500000.0,14,18,21,25,85800.0,93000.0,99700.0,6,7,6,77845.41,97019.11,94615.96,278500.0,64,269480.48,19,83,2223,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
381,55,6180047.0,14,16,9,9,13600.0,16993.6,122400.0,0,0,0,0.0,0.0,0.0,152993.6,34,0.0,0,34,2223,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
382,38,1280000.0,14,2,0,0,8900.0,0.0,0.0,2,0,0,8916.83,0.0,0.0,8900.0,2,8916.83,2,4,2223,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
383,61,1350000.0,14,48,35,31,71663.6,73050.0,81799.7,14,14,15,60782.86,73249.42,82043.04,226513.3,114,216075.32,43,157,2223,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
384,59,9000000.0,13,2,0,1,2693.6,0.0,749.7,0,0,0,0.0,0.0,0.0,3443.3,3,0.0,0,3,2223,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
385,38,1000000.0,13,67,70,93,156548.02,148289.44,220825.67,14,11,6,90500.0,95500.0,100000.0,525663.13,230,286000.0,31,261,2222,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
386,57,4000.0,13,0,0,0,0.0,0.0,0.0,2,0,0,296840.35,0.0,0.0,0.0,0,296840.35,2,2,2222,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
387,55,1200000.0,13,17,14,17,45993.6,47400.0,53499.7,7,6,8,46029.39,47444.9,53586.13,146893.3,48,147060.42,21,69,2223,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
388,61,180000.0,13,15,29,26,18593.43,35281.47,42444.12,4,8,1,9580.0,32110.8,1954.0,96319.02,70,43644.8,13,83,2223,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
389,49,5000.0,13,199,229,276,813110.39,2375717.32,2150797.1,12,17,19,998282.68,2857392.13,1325877.83,5339624.81,704,5181552.64,48,752,2223,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
390,44,3000000.0,13,86,148,122,1528963.34,2077992.82,669436.22,6,13,9,650000.0,3097500.0,655000.0,4276392.38,356,4402500.0,28,384,2222,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
391,44,907.0,13,92,125,127,332316.48,884558.38,479921.99,13,31,16,1733333.5,3648423.53,2386056.58,1696796.85,344,7767813.61,60,404,2222,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
392,73,1000000.0,14,27,31,24,52600.0,43893.6,51700.0,7,6,7,51643.14,47510.94,54268.0,148193.6,82,153422.08,20,102,2223,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
393,31,1000.0,14,251,250,283,2085330.34,3427228.24,1878798.85,19,12,22,2376430.9,1836217.16,2585347.38,7391357.43,784,6797995.44,53,837,2212,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
394,56,2500.0,24,1,0,7,693.6,0.0,9839.7,0,0,1,0.0,0.0,2500.0,10533.3,8,2500.0,1,9,2223,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
395,58,2000000.0,14,59,57,78,155957.06,101081.73,179202.46,8,7,8,195303.84,168254.66,190562.63,436241.25,194,554121.13,23,217,2223,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
396,71,1000000.0,14,24,25,24,59100.0,66801.0,74331.0,7,6,7,45629.97,41979.87,47949.0,200232.0,73,135558.84,20,93,2223,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
397,21,750000.0,14,0,1,0,0.0,100000.0,0.0,0,0,0,0.0,0.0,0.0,100000.0,1,0.0,0,1,2223,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
398,16,2000.0,14,3,0,5,1242.36,0.0,601455.34,2,0,0,71537.95,0.0,0.0,602697.7,8,71537.95,2,10,2222,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
399,40,4000000.0,14,8,10,10,4149.53,3800.13,4676.68,0,0,0,0.0,0.0,0.0,12626.34,28,0.0,0,28,2212,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
400,56,1500000.0,24,26,20,0,255579.65,42107.89,0.0,0,0,0,0.0,0.0,0.0,297687.54,46,0.0,0,46,2222,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
401,20,1000000.0,14,0,0,22,0.0,0.0,76932.74,0,0,0,0.0,0.0,0.0,76932.74,22,0.0,0,22,2223,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
402,61,40000.0,24,2,3,3,50907.8,33510.0,13500.74,0,0,0,0.0,0.0,0.0,97918.54,8,0.0,0,8,2212,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
403,16,2000000.0,14,0,0,0,0.0,0.0,0.0,3,1,2,57105.0,4000.0,8817.5,0.0,0,69922.5,6,6,2222,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
404,50,2000000.0,14,30,36,9,121886.64,140506.38,4601.2,2,3,0,8100.0,16550.0,0.0,266994.22,75,24650.0,5,80,2223,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
405,32,1000000.0,14,61,16,74,112981.39,3280.0,78538.62,2,0,0,45000.0,0.0,0.0,194800.01,151,45000.0,2,153,2223,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
406,48,6000000.0,14,157,174,190,279919.82,316473.04,410556.33,12,32,25,366102.83,318153.85,374075.66,1006949.19,521,1058332.34,69,590,2235,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
407,36,2000000.0,14,9,18,31,34600.0,78000.0,143355.55,0,0,1,0.0,0.0,18000.0,255955.55,58,18000.0,1,59,2222,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
408,44,9111960.0,14,81,82,64,228790.0,240601.68,253828.45,5,1,1,126000.0,60000.0,30000.0,723220.13,227,216000.0,7,234,2222,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
409,48,1000000.0,14,7,9,52,14105.0,18295.02,226600.0,6,5,5,12000.0,10000.0,308000.0,259000.02,68,330000.0,16,84,2222,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
410,60,150.0,14,0,0,1,0.0,0.0,2250.0,0,0,0,0.0,0.0,0.0,2250.0,1,0.0,0,1,2223,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
411,66,38448.3,14,1,0,1,817.02,0.0,883.32,0,0,0,0.0,0.0,0.0,1700.34,2,0.0,0,2,2222,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
412,54,400.0,14,54,98,72,151929.59,283190.96,249512.68,12,20,18,617503.38,677423.37,759706.28,684633.23,224,2054633.03,50,274,2235,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
413,43,430.0,14,59,67,95,107913.23,155397.24,218965.1,15,16,22,99521.78,89862.78,182418.96,482275.57,221,371803.52,53,274,2223,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
414,66,2711097.0,24,18,6,0,34090.0,16900.0,0.0,6,3,0,34336.38,17168.19,0.0,50990.0,24,51504.57,9,33,2233,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
415,49,3500.0,14,8,17,15,106138.6,111357.0,208762.7,12,12,14,218282.26,296947.59,275023.37,426258.3,40,790253.22,38,78,2223,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
416,55,1000000.0,14,16,15,27,19785.73,17280.0,46908.48,7,6,9,19846.5,17303.76,47123.07,83974.21,58,84273.33,22,80,2222,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
417,55,550.0,14,4,6,0,820.63,3075.74,0.0,6,2,0,310455.72,100535.82,0.0,3896.37,10,410991.54,8,18,2223,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
418,40,1000000.0,14,53,35,39,119638.6,73950.5,145556.7,7,5,3,118657.42,70735.01,55000.0,339145.8,127,244392.43,15,142,2223,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
419,62,3500.0,14,23,17,16,57593.6,46900.0,46249.7,8,6,7,57851.26,46790.82,54313.84,150743.3,56,158955.92,21,77,2223,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
420,60,2500000.0,14,43,34,24,80405.6,64508.0,67749.7,2,2,6,19503.46,12108.0,65060.0,212663.3,101,96671.46,10,111,2223,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
421,48,3000000.0,14,135,39,38,269628.38,34769.17,24458.19,34,14,8,410866.63,435203.4,416310.01,328855.74,212,1262380.04,56,268,2222,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
422,38,2000000.0,14,77,57,38,152494.17,102577.35,49438.65,7,7,8,69698.33,164984.58,48576.11,304510.17,172,283259.02,22,194,2223,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
423,45,50000000.0,14,183,95,109,528580.3,336952.93,184566.74,79,52,37,548600.0,338060.0,163720.0,1050099.97,387,1050380.0,168,555,2223,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
424,28,1500000.0,14,1,3,2,5888.3,170060.0,52345.0,6,6,2,54237.0,54085.5,18598.14,228293.3,6,126920.64,14,20,2222,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
425,73,50000000.0,14,0,0,0,0.0,0.0,0.0,0,1,0,0.0,1278.0,0.0,0.0,0,1278.0,1,1,2223,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
426,63,3500.0,14,33,30,34,56125.0,58748.0,50842.0,7,7,7,55645.65,50515.2,58427.93,165715.0,97,164588.78,21,118,2223,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
427,56,1500000.0,28,9,14,2,6545.0,19800.0,400.0,0,1,0,0.0,18550.72,0.0,26745.0,25,18550.72,1,26,2223,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
428,51,500.0,14,9,12,13,18270.0,24360.0,26390.0,9,13,13,18270.0,24525.5,26390.0,69020.0,34,69185.5,35,69,2222,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
